Entity,Year,肥胖死亡占比,每10万中因肥胖而死亡的人数,Region
Oman,1991,7.82,37.33991897,Eastern Mediterranean
Pakistan,1991,1.83,120.9812773,Eastern Mediterranean
Panama,1991,4.77,120.3761783,Americas
Papua New Guinea,1991,5.68,59.49908628,Western Pacific
Paraguay,1991,7.45,34.60407051,Americas
Peru,1991,3.15,37.14519237,Americas
Philippines,1991,3.18,118.2329772,Western Pacific
Poland,1991,12.92,65.08078183,Europe
Portugal,1991,8.76,100.7151368,Europe
Qatar,1991,18.57,121.6502053,Eastern Mediterranean
Romania,1991,13.11,118.0226303,Europe
Russia,1991,12.61,42.61079014,Europe
Rwanda,1991,1.08,104.0866838,Europe
Saint Lucia,1991,10.63,85.7150221,Americas
Saint Vincent and the Grenadines,1991,9.28,126.0010599,Americas
Samoa,1991,14.29,41.83065108,Americas
Sao Tome and Principe,1991,2.55,92.21612027,Western Pacific
Saudi Arabia,1991,7.31,83.32211226,Africa
Senegal,1991,2.02,52.73778291,Eastern Mediterranean
Serbia,1991,13.79,111.6797105,Africa
Seychelles,1991,8.25,78.66693468,Europe
Sierra Leone,1991,0.95,34.32003994,Africa
Singapore,1991,5.32,31.88801564,Africa
Slovakia,1991,14.89,136.5384756,Western Pacific
Slovenia,1991,10.81,85.29803818,Europe
Solomon Islands,1991,7.13,113.7388453,Europe
Somalia,1991,0.83,38.57236487,Western Pacific
South Africa,1991,6.73,86.87070777,Eastern Mediterranean
Spain,1991,9.62,82.03040501,Africa
Sri Lanka,1991,3.63,57.01838129,Europe
Sudan,1991,3.77,44.91468104,South-East Asia
Suriname,1991,10,89.06384877,Eastern Mediterranean
Sweden,1991,8.67,152.3327816,Americas
Switzerland,1991,8.18,51.59679378,Europe
Syria,1991,11.87,46.13398243,Europe
Taiwan,1991,8.27,135.4865065,Asia
Tajikistan,1991,5.31,54.76629033,Eastern Mediterranean
Thailand,1991,3.33,40.91230974,Europe
Timor,1991,1,27.73026908,South-East Asia
Togo,1991,1.29,23.10927892,Africa
Tonga,1991,12.06,39.47087276,Western Pacific
Trinidad and Tobago,1991,16,112.8621988,Americas
Tunisia,1991,9.29,74.33826719,Eastern Mediterranean
Turkey,1991,11.49,86.66754582,Europe
Turkmenistan,1991,9.67,118.539824,Europe
Uganda,1991,0.51,135.7655982,Africa
Ukraine,1991,12.75,23.75925034,Europe
United Arab Emirates,1991,11.76,118.9420435,Eastern Mediterranean
United Kingdom,1991,9.84,129.4115714,Europe
United States,1991,11.95,67.20773895,Africa
Upper-middle income,1991,5.94,77.12998692,Americas
Uruguay,1991,7.95,135.0540854,Americas
Uzbekistan,1991,8.18,58.85968728,Europe
Vanuatu,1991,8.67,93.22268736,Western Pacific
Venezuela,1991,10.26,133.1935259,Americas
Vietnam,1991,1.65,91.45576002,Western Pacific
Yemen,1991,2.87,38.90384097,Eastern Mediterranean
Zambia,1991,1.15,56.97363525,Africa
Zimbabwe,1991,2.38,78.91421007,Africa
Afghanistan,1996,3.19,108.943992,Eastern Mediterranean
Albania,1996,8.31,94.24013363,Europe
Algeria,1996,10.85,175.5665366,Africa
Andorra,1996,8.15,38.86795265,Europe
Angola,1996,0.87,37.59703846,Africa
Antigua and Barbuda,1996,12.06,93.01660363,Americas
Argentina,1996,9.74,72.0619296,Americas
Armenia,1996,11.01,100.3071837,Europe
Australia,1996,10.78,60.49292236,Western Pacific
Austria,1996,9.74,134.1450468,Europe
Azerbaijan,1996,10.9,123.3222991,Europe
Bahamas,1996,12.88,201.9203957,Americas
Bahrain,1996,19.46,11.35100391,Eastern Mediterranean
Bangladesh,1996,0.64,97.14331409,South-East Asia
Barbados,1996,13.21,129.1589947,Americas
Belarus,1996,13.34,48.49878869,Europe
Belgium,1996,8.01,106.7527779,Europe
Belize,1996,10.66,50.56578624,Americas
Benin,1996,1.78,101.6967189,Africa
Bhutan,1996,2.33,64.6530693,South-East Asia
Bolivia,1996,4.24,82.16430893,Americas
Bosnia and Herzegovina,1996,11.64,65.76268582,Europe
Botswana,1996,3.22,75.3829087,Africa
Brazil,1996,8.34,60.88683119,Americas
Brunei,1996,7,155.4737052,Western Pacific
Bulgaria,1996,17.19,35.76528778,Europe
Burkina Faso,1996,0.98,40.78860287,Africa
Burundi,1996,0.86,25.40049602,Africa
Cambodia,1996,1.25,88.41286126,Western Pacific
Cameroon,1996,3.1,58.62895679,Africa
Canada,1996,10.64,36.87336317,Americas
Cape Verde,1996,3.62,78.11375345,Africa
Central African Republic,1996,1.2,52.13775033,Africa
Chad,1996,0.73,58.63955492,Africa
Chile,1996,9.59,27.13983367,Americas
China,1996,3.55,65.61218922,Western Pacific
Colombia,1996,8.17,30.10457043,Americas
Comoros,1996,2.48,73.33385766,Africa
Congo,1996,3.63,53.37288609,Africa
Costa Rica,1996,9.42,109.5114018,Americas
Croatia,1996,13,68.56139074,Americas
Cuba,1996,9.14,99.20212252,Europe
Cyprus,1996,8.92,62.13437297,Europe
Czech Republic,1996,14.08,55.72612813,Africa
Democratic Republic of Congo,1996,1.67,111.3381442,Africa
Denmark,1996,7.53,59.19369709,Europe
Djibouti,1996,1.48,52.4706559,Eastern Mediterranean
Dominica,1996,11.25,35.31474533,Americas
Dominican Republic,1996,6.98,89.68760168,Americas
Ecuador,1996,8.58,67.6673271,Americas
Egypt,1996,13.53,174.026468,Eastern Mediterranean
El Salvador,1996,7.48,69.90225775,Americas
Equatorial Guinea,1996,1.4,60.83649691,Africa
Eritrea,1996,1.14,56.8000288,Africa
Estonia,1996,12.93,46.31255311,Europe
Ethiopia,1996,0.62,118.5095805,Africa
Fiji,1996,21.95,57.98735606,Western Pacific
Finland,1996,9.41,37.09645711,Europe
France,1996,6.77,93.9815128,Europe
Gabon,1996,5.19,58.62464483,Africa
Gambia,1996,2.54,133.2945869,Africa
Georgia,1996,17.43,64.75880858,Europe
Germany,1996,10.54,53.09518701,Europe
Ghana,1996,2.64,58.32987039,Africa
Greece,1996,10.56,80.90660863,Europe
Grenada,1996,10.19,136.1142909,Americas
Guatemala,1996,3.23,41.04362884,Americas
Guinea,1996,1.4,65.86105151,Africa
Guinea-Bissau,1996,1.74,134.5118948,Africa
Guyana,1996,10.46,75.68542304,Americas
Haiti,1996,3.36,58.24026566,Americas
Honduras,1996,5.74,66.96049407,Americas
Hungary,1996,14.8,137.0473547,Europe
Iceland,1996,9.48,52.32654579,Europe
India,1996,1.45,21.2240033,South-East Asia
Indonesia,1996,3.13,33.22875756,South-East Asia
Iran,1996,9.47,82.88749632,Eastern Mediterranean
Iraq,1996,14.44,226.7277486,Eastern Mediterranean
Ireland,1996,9.18,64.97772963,Europe
Israel,1996,10.36,61.80817338,Europe
Italy,1996,9.35,50.53142853,Europe
Jamaica,1996,10.88,84.10511926,Americas
Japan,1996,4.29,19.23303302,Western Pacific
Jordan,1996,14.65,161.7993721,Eastern Mediterranean
Kazakhstan,1996,16.91,221.8499106,Europe
Kenya,1996,1.27,33.26803762,Africa
Kiribati,1996,12.8,218.4223679,Western Pacific
Kuwait,1996,19.55,91.23966045,Eastern Mediterranean
Kyrgyzstan,1996,10.07,123.1917753,Europe
Laos,1996,1.98,46.44107639,Western Pacific
Latvia,1996,14.03,130.7772417,Europe
Lebanon,1996,14.96,121.5553641,Eastern Mediterranean
Lesotho,1996,3.56,77.1321638,Africa
Liberia,1996,1.48,48.17588146,Africa
Libya,1996,12.52,121.1393721,Eastern Mediterranean
Lithuania,1996,12.16,108.5112277,Europe
Luxembourg,1996,9.5,41.22486716,Europe
Madagascar,1996,1.59,57.86043987,Africa
Malawi,1996,0.77,35.91405959,Africa
Malaysia,1996,6.93,38.20227739,Western Pacific
Maldives,1996,3.64,61.91515417,South-East Asia
Mali,1996,0.98,168.9635977,Africa
Malta,1996,10.77,95.2675957,Europe
Marshall Islands,1996,10.59,100.0412274,Western Pacific
Mauritania,1996,4.73,89.09303028,Africa
Mauritius,1996,12.03,183.0086406,Africa
Mexico,1996,10.26,43.72438841,Americas
Micronesia,1996,13.71,125.2780825,Western Pacific
Mongolia,1996,8.55,29.70064238,Western Pacific
Montenegro,1996,14.94,29.78438028,Europe
Morocco,1996,11.44,103.8563224,Eastern Mediterranean
Mozambique,1996,0.82,16.82021172,Africa
Myanmar,1996,1.62,49.9546199,South-East Asia
Namibia,1996,5.25,61.98733688,Africa
Nepal,1996,1.02,69.53487962,Western Pacific
Netherlands,1996,8.25,32.59781617,South-East Asia
New Zealand,1996,10,41.31164479,Europe
Nicaragua,1996,7.14,120.8122507,Western Pacific
Niger,1996,0.64,76.67120955,Africa
Nigeria,1996,1.27,27.92313432,Africa
Norway,1996,7.63,163.6225321,Europe
Oman,1996,10.51,46.94286137,Eastern Mediterranean
Pakistan,1996,2.35,129.0331519,Eastern Mediterranean
Panama,1996,6.49,141.1338028,Americas
Papua New Guinea,1996,7.05,67.40739606,Western Pacific
Paraguay,1996,8.51,43.18744805,Americas
Peru,1996,4.76,45.83463382,Americas
Philippines,1996,4.25,109.3130407,Western Pacific
Poland,1996,13.4,67.25861677,Europe
Portugal,1996,9.69,102.0462,Europe
Qatar,1996,21.39,144.4131746,Eastern Mediterranean
Romania,1996,14.56,150.2380569,Europe
Russia,1996,13.43,43.08073822,Europe
Rwanda,1996,0.95,107.3940714,Europe
Saint Lucia,1996,12.25,96.14356351,Americas
Saint Vincent and the Grenadines,1996,10.43,140.5699497,Americas
Samoa,1996,16.1,53.61625655,Americas
Sao Tome and Principe,1996,3.22,93.44327505,Western Pacific
Saudi Arabia,1996,9.56,81.19607173,Africa
Senegal,1996,2.39,58.1108265,Eastern Mediterranean
Serbia,1996,15.84,133.3600616,Africa
Seychelles,1996,8.66,80.22940646,Europe
Sierra Leone,1996,1.24,39.85259002,Africa
Singapore,1996,6.07,33.47292422,Africa
Slovakia,1996,15.56,126.211891,Western Pacific
Slovenia,1996,11.74,83.23701777,Europe
Solomon Islands,1996,9.15,132.9538066,Europe
Somalia,1996,1.03,41.37738729,Western Pacific
South Africa,1996,7.56,110.7583643,Eastern Mediterranean
Spain,1996,10.15,102.1808654,Africa
Sri Lanka,1996,4.31,55.14876307,Europe
Sudan,1996,4.64,52.90594522,South-East Asia
Suriname,1996,10.95,96.56545693,Eastern Mediterranean
Sweden,1996,8.93,177.7317261,Americas
Switzerland,1996,8.17,48.52842678,Europe
Syria,1996,14.89,40.86607691,Europe
Taiwan,1996,7.95,149.747305,Asia
Tajikistan,1996,5.91,51.1602607,Eastern Mediterranean
Thailand,1996,4.17,44.17514667,Europe
Timor,1996,1.11,34.82803959,South-East Asia
Togo,1996,1.65,20.0860973,Africa
Tonga,1996,13.83,47.82700199,Western Pacific
Trinidad and Tobago,1996,16.18,128.9507925,Americas
Tunisia,1996,11.5,75.19323838,Eastern Mediterranean
Turkey,1996,12.94,95.27511057,Europe
Turkmenistan,1996,11.86,113.681593,Europe
Uganda,1996,0.62,176.5801499,Africa
Ukraine,1996,13.94,28.81145384,Europe
United Arab Emirates,1996,14.41,153.5586332,Eastern Mediterranean
United Kingdom,1996,9.75,137.5465863,Europe
United States,1996,12.48,62.7042113,Africa
Upper-middle income,1996,7.04,78.67315991,Americas
Uruguay,1996,9.16,137.202382,Americas
Uzbekistan,1996,10.1,66.12017442,Europe
Vanuatu,1996,9.66,121.4826015,Western Pacific
Venezuela,1996,11.3,142.6753029,Americas
Vietnam,1996,1.77,93.59738292,Western Pacific
Yemen,1996,3.67,46.83864535,Eastern Mediterranean
Zambia,1996,1.22,59.54239086,Africa
Zimbabwe,1996,1.87,88.28217107,Africa
Afghanistan,2002,3.66,115.598101,Eastern Mediterranean
Albania,2002,10.38,97.12069139,Europe
Algeria,2002,12.55,195.632294,Africa
Andorra,2002,9,37.53028869,Europe
Angola,2002,1.23,46.13360585,Africa
Antigua and Barbuda,2002,12.27,88.20755253,Americas
Argentina,2002,11.11,80.46346567,Americas
Armenia,2002,13.08,101.4362553,Europe
Australia,2002,11.21,54.1779206,Western Pacific
Austria,2002,10.26,136.3567399,Europe
Azerbaijan,2002,12.23,113.5177823,Europe
Bahamas,2002,13.87,160.3958866,Americas
Bahrain,2002,19.82,17.26476082,Eastern Mediterranean
Bangladesh,2002,1.29,92.89840061,South-East Asia
Barbados,2002,13.82,152.0993571,Americas
Belarus,2002,14.96,45.89113245,Europe
Belgium,2002,8.24,124.4105454,Europe
Belize,2002,12.51,61.92256747,Americas
Benin,2002,2.37,84.20582401,Africa
Bhutan,2002,3.9,69.62196967,South-East Asia
Bolivia,2002,5.9,85.93389727,Americas
Bosnia and Herzegovina,2002,14.03,78.88328695,Europe
Botswana,2002,2.78,75.75027919,Africa
Brazil,2002,9.83,65.62711245,Americas
Brunei,2002,8.77,146.9248953,Western Pacific
Bulgaria,2002,17.28,45.15392748,Europe
Burkina Faso,2002,1.38,37.85016729,Africa
Burundi,2002,0.85,25.71778696,Africa
Cambodia,2002,1.59,100.8020788,Western Pacific
Cameroon,2002,3.46,56.80778483,Africa
Canada,2002,11.63,41.48805457,Americas
Cape Verde,2002,4.57,73.55327723,Africa
Central African Republic,2002,1.35,63.00815014,Africa
Chad,2002,0.88,55.74402686,Africa
Chile,2002,11.17,34.17887269,Americas
China,2002,4.53,65.78720047,Western Pacific
Colombia,2002,8.25,32.7099135,Americas
Comoros,2002,2.94,64.19477856,Africa
Congo,2002,3.91,49.53936758,Africa
Costa Rica,2002,10.3,110.9380898,Americas
Croatia,2002,13.51,77.07140912,Americas
Cuba,2002,9.42,94.37552566,Europe
Cyprus,2002,8.92,52.81574488,Europe
Czech Republic,2002,14.23,55.57090698,Africa
Democratic Republic of Congo,2002,1.57,99.41378538,Africa
Denmark,2002,7.65,51.60599519,Europe
Djibouti,2002,2.26,47.84249172,Eastern Mediterranean
Dominica,2002,11.73,47.871038,Americas
Dominican Republic,2002,8.56,85.5952302,Americas
Ecuador,2002,10.05,71.20301913,Americas
Egypt,2002,15.98,183.9348975,Eastern Mediterranean
El Salvador,2002,9.81,76.51269729,Americas
Equatorial Guinea,2002,2.52,53.21129078,Africa
Eritrea,2002,1.66,71.69977677,Africa
Estonia,2002,14.44,57.66714031,Europe
Ethiopia,2002,0.72,119.3331834,Africa
Fiji,2002,25.96,54.26647335,Western Pacific
Finland,2002,9.97,37.96256808,Europe
France,2002,7.7,107.5402864,Europe
Gabon,2002,5.64,69.65196024,Africa
Gambia,2002,3.42,142.1789362,Africa
Georgia,2002,17.77,57.85717995,Europe
Germany,2002,11.01,69.38891535,Europe
Ghana,2002,3.63,59.9693021,Africa
Greece,2002,11.31,79.70247604,Europe
Grenada,2002,11.53,135.4926717,Americas
Guatemala,2002,4.7,48.56649539,Americas
Guinea,2002,1.83,73.96863449,Africa
Guinea-Bissau,2002,2.17,143.1684833,Africa
Guyana,2002,11.85,76.09997959,Americas
Haiti,2002,3.96,54.50521682,Americas
Honduras,2002,7.48,75.24212204,Americas
Hungary,2002,15,122.9791323,Europe
Iceland,2002,9.66,44.52879339,Europe
India,2002,2.19,28.87275754,South-East Asia
Indonesia,2002,4.23,40.45077707,South-East Asia
Iran,2002,10.55,80.98623976,Eastern Mediterranean
Iraq,2002,15.04,199.8496392,Eastern Mediterranean
Ireland,2002,9.26,56.03266831,Europe
Israel,2002,10.77,58.8923545,Europe
Italy,2002,9.79,46.15155238,Europe
Jamaica,2002,12.04,85.56672418,Americas
Japan,2002,4.32,17.13981188,Western Pacific
Jordan,2002,16.61,157.8712693,Eastern Mediterranean
Kazakhstan,2002,17.76,212.8531359,Europe
Kenya,2002,1.45,38.87175459,Africa
Kiribati,2002,16.59,267.9798026,Western Pacific
Kuwait,2002,21.26,95.75517702,Eastern Mediterranean
Kyrgyzstan,2002,10.73,121.4056927,Europe
Laos,2002,2.77,53.57448718,Western Pacific
Latvia,2002,15.03,129.3160573,Europe
Lebanon,2002,16.85,112.7082167,Eastern Mediterranean
Lesotho,2002,3.77,121.2721219,Africa
Liberia,2002,1.63,47.78040149,Africa
Libya,2002,15.95,131.6275298,Eastern Mediterranean
Lithuania,2002,13.14,103.1090282,Europe
Luxembourg,2002,9.92,47.54200876,Europe
Madagascar,2002,2.06,63.61173369,Africa
Malawi,2002,1.17,29.70452139,Africa
Malaysia,2002,8.54,41.60841004,Western Pacific
Maldives,2002,4.13,62.00460716,South-East Asia
Mali,2002,1.24,205.6858041,Africa
Malta,2002,11.71,93.96356797,Europe
Marshall Islands,2002,13.59,104.7967656,Western Pacific
Mauritania,2002,5.32,92.5160753,Africa
Mauritius,2002,13.63,205.4281489,Africa
Mexico,2002,12.82,48.0478114,Americas
Micronesia,2002,16.05,111.1034416,Western Pacific
Mongolia,2002,10.3,38.90310359,Western Pacific
Montenegro,2002,15.75,32.63572069,Europe
Morocco,2002,13.09,132.2571332,Eastern Mediterranean
Mozambique,2002,1.1,21.43204339,Africa
Myanmar,2002,2.05,46.05084912,South-East Asia
Namibia,2002,5.03,56.25829935,Africa
Nepal,2002,1.71,76.70366487,Western Pacific
Netherlands,2002,8.1,35.16152167,South-East Asia
New Zealand,2002,10.52,45.49612328,Europe
Nicaragua,2002,9.87,115.6685051,Western Pacific
Niger,2002,0.83,77.34824821,Africa
Nigeria,2002,1.38,28.2346431,Africa
Norway,2002,7.38,185.9298646,Europe
Oman,2002,13.7,65.64094684,Eastern Mediterranean
Pakistan,2002,3.54,129.4266061,Eastern Mediterranean
Panama,2002,7.6,159.2876264,Americas
Papua New Guinea,2002,7.94,71.64891247,Western Pacific
Paraguay,2002,10.05,39.37419484,Americas
Peru,2002,6.01,61.58349535,Americas
Philippines,2002,5.97,96.0856532,Western Pacific
Poland,2002,13.61,60.38611217,Europe
Portugal,2002,9.99,93.17471888,Europe
Qatar,2002,22.01,137.7402543,Eastern Mediterranean
Romania,2002,15.97,173.9306807,Europe
Russia,2002,14.82,37.67429689,Europe
Rwanda,2002,1,93.23529644,Europe
Saint Lucia,2002,12.38,95.6192249,Americas
Saint Vincent and the Grenadines,2002,11.31,150.3346746,Americas
Samoa,2002,17.83,64.12159691,Americas
Sao Tome and Principe,2002,4.23,106.3908881,Western Pacific
Saudi Arabia,2002,13,71.61617829,Africa
Senegal,2002,3.01,61.48731635,Eastern Mediterranean
Serbia,2002,15.84,128.6838918,Africa
Seychelles,2002,8.93,77.34896164,Europe
Sierra Leone,2002,1.52,49.78945945,Africa
Singapore,2002,7.15,33.23213883,Africa
Slovakia,2002,15.86,121.6003,Western Pacific
Slovenia,2002,12.26,76.30026659,Europe
Solomon Islands,2002,11,156.2399607,Europe
Somalia,2002,1.24,44.59897179,Western Pacific
South Africa,2002,6.55,141.8228312,Eastern Mediterranean
Spain,2002,10.54,135.935619,Africa
Sri Lanka,2002,5.62,50.72175222,Europe
Sudan,2002,5.39,61.10464136,South-East Asia
Suriname,2002,12.54,100.5486003,Eastern Mediterranean
Sweden,2002,9.03,267.6486874,Americas
Switzerland,2002,8.37,45.50374087,Europe
Syria,2002,17.02,37.19987573,Europe
Taiwan,2002,8.32,133.2521815,Asia
Tajikistan,2002,6.45,45.66498972,Eastern Mediterranean
Thailand,2002,5.28,46.60228377,Europe
Timor,2002,1.28,36.20368577,South-East Asia
Togo,2002,1.96,18.27403806,Africa
Tonga,2002,16.14,55.02950236,Western Pacific
Trinidad and Tobago,2002,17.47,153.3367398,Americas
Tunisia,2002,12.99,75.64742969,Eastern Mediterranean
Turkey,2002,13.91,95.63317781,Europe
Turkmenistan,2002,13.77,88.22819897,Europe
Uganda,2002,0.89,171.6108763,Africa
Ukraine,2002,14.93,37.19862795,Europe
United Arab Emirates,2002,15.28,148.918612,Eastern Mediterranean
United Kingdom,2002,9.61,154.6540223,Europe
United States,2002,13.3,54.94000351,Africa
Upper-middle income,2002,8.18,79.72164264,Americas
Uruguay,2002,10.15,134.3835021,Americas
Uzbekistan,2002,12.36,69.13422564,Europe
Vanuatu,2002,10.78,153.0467686,Western Pacific
Venezuela,2002,11.91,153.8824344,Americas
Vietnam,2002,2.22,88.22197871,Western Pacific
Yemen,2002,4.77,53.59853463,Eastern Mediterranean
Zambia,2002,1.2,60.53264954,Africa
Zimbabwe,2002,2.63,92.56991221,Africa
Afghanistan,2007,5.19,151.1699335,Eastern Mediterranean
Albania,2007,11.32,97.95991028,Europe
Algeria,2007,14.22,198.1673284,Africa
Andorra,2007,9.1,36.28294287,Europe
Angola,2007,1.61,49.40436321,Africa
Antigua and Barbuda,2007,13.11,83.7500587,Americas
Argentina,2007,11.41,77.92972005,Americas
Armenia,2007,13.23,99.69431421,Europe
Australia,2007,11.53,49.9375731,Western Pacific
Austria,2007,10.62,137.5251551,Europe
Azerbaijan,2007,13.16,109.9403034,Europe
Bahamas,2007,15,140.5352751,Americas
Bahrain,2007,20.43,29.58953366,Eastern Mediterranean
Bangladesh,2007,2.78,88.79454013,South-East Asia
Barbados,2007,14.25,140.0999101,Americas
Belarus,2007,15.4,40.439989,Europe
Belgium,2007,8.11,115.5460188,Europe
Belize,2007,13.47,65.35580494,Americas
Benin,2007,2.74,72.23089136,Africa
Bhutan,2007,5.03,72.64078253,South-East Asia
Bolivia,2007,7.2,90.96953721,Americas
Bosnia and Herzegovina,2007,14.27,92.33475501,Europe
Botswana,2007,3.75,75.6607112,Africa
Brazil,2007,11.03,67.0833655,Americas
Brunei,2007,9.71,141.0058896,Western Pacific
Bulgaria,2007,17.2,48.56129847,Europe
Burkina Faso,2007,1.69,32.69832833,Africa
Burundi,2007,1.04,28.1165488,Africa
Cambodia,2007,2.25,100.8397625,Western Pacific
Cameroon,2007,3.68,51.2371072,Africa
Canada,2007,11.59,44.34779991,Americas
Cape Verde,2007,5.4,77.76502789,Africa
Central African Republic,2007,1.49,65.6902863,Africa
Chad,2007,0.96,51.68650094,Africa
Chile,2007,11.64,34.67192399,Americas
China,2007,5.58,62.82144676,Western Pacific
Colombia,2007,9.25,34.24954273,Americas
Comoros,2007,3.45,52.75615816,Africa
Congo,2007,4.58,47.7283528,Africa
